source_id,filename,path,sha256,chars,chunks
civil-engineering-pack/kds/KDS_21_30_00.md,KDS_21_30_00.md,kds/KDS_21_30_00.md,9c1ebfe71b27e66e9db14f4cef94990db4f46386f0c7b5fdb27f11100a930161,24106,10
civil-engineering-pack/kds/KDS_21_45_00.md,KDS_21_45_00.md,kds/KDS_21_45_00.md,24026013f1ae4ae80427562ef44add903e0f213260996de7db6e564e5bf4e108,7059,3
civil-engineering-pack/kds/KDS_21_50_00.md,KDS_21_50_00.md,kds/KDS_21_50_00.md,3368251f42546e86568e75449c5b11254829ceba4f13797e6d63fa6b04cc49f8,33062,12
civil-engineering-pack/kds/KDS_21_60_00.md,KDS_21_60_00.md,kds/KDS_21_60_00.md,8d12d74e5988cac0f5426edc2109be5094345e68654e99298adff15b4bbaaa60,10362,4
civil-engineering-pack/kds/KDS_31_70_15.md,KDS_31_70_15.md,kds/KDS_31_70_15.md,6776d819eb882b18aa6107d542fc13033a08cea7885c6bb6b5dbf32bf9f9dedd,4134,2
civil-engineering-pack/kds/KDS_41_10_05.md,KDS_41_10_05.md,kds/KDS_41_10_05.md,9360001091e8fdf2552e082069088895863cf56da3fa45c853a29129c7c999bb,12843,5
civil-engineering-pack/kds/KDS_41_10_10.md,KDS_41_10_10.md,kds/KDS_41_10_10.md,c55d057b4e32eff36783cc2ad6802dcae676ff3664460cc1902f4303eaf16098,18535,7
civil-engineering-pack/kds/KDS_41_12_00.md,KDS_41_12_00.md,kds/KDS_41_12_00.md,3493a90e4b6ac4a239873593db527e3a8b479abd2f2c54a4e3ac429b2815dd22,151603,56
civil-engineering-pack/kds/KDS_41_17_00.md,KDS_41_17_00.md,kds/KDS_41_17_00.md,7f1fdadba4787a730017e5bc112eb19291b4a7f487376e974453cf66e343b367,152143,54
civil-engineering-pack/kds/KDS_41_19_00.md,KDS_41_19_00.md,kds/KDS_41_19_00.md,041b3ff1d7933dd25a50c2050e14399f25b499bfd402ac2610d26a357e762bd3,46809,16
civil-engineering-pack/kds/KDS_41_20_00.md,KDS_41_20_00.md,kds/KDS_41_20_00.md,3b675fc3fa0776a8411849e691565cdb4793b222a5b521f1a054ed2b64db77a0,4727,2
civil-engineering-pack/kds/KDS_41_20_10.md,KDS_41_20_10.md,kds/KDS_41_20_10.md,53568cbaf3c2d0c2efd485e30b0fceaba87d1dd5d5c128f37377ecddcf5dc300,35536,13
civil-engineering-pack/kds/KDS_41_30_10.md,KDS_41_30_10.md,kds/KDS_41_30_10.md,9ca43d4e1eb037c4b86da18c4abd6494975a88deed9c3f3ecc3c77e32eae1456,28756,10
civil-engineering-pack/kds/KDS_41_30_20.md,KDS_41_30_20.md,kds/KDS_41_30_20.md,826ff470cb03c12d98e2bbc7caea0e4d10a2350567cb347b63c93a1e06eaed26,46268,16
civil-engineering-pack/kds/KDS_41_30_30.md,KDS_41_30_30.md,kds/KDS_41_30_30.md,a92db599a2b5b5bc7c69cdaf277f8d36ef6e433ec1dfc25db3ddf66a34bd1da2,196756,69
civil-engineering-pack/kds/KDS_41_30_40.md,KDS_41_30_40.md,kds/KDS_41_30_40.md,2a0f89a625024e2fd33d3526df776fda7daaf0c8dd543d06048482f56c43f089,73251,26
civil-engineering-pack/kds/KDS_41_40_10.md,KDS_41_40_10.md,kds/KDS_41_40_10.md,39a50971760310494ba538e8d0f0346e86b7b5aaee65b888c8611f1e72b68744,22719,8
civil-engineering-pack/kds/KDS_41_40_20.md,KDS_41_40_20.md,kds/KDS_41_40_20.md,f4c8e843e61d00bc41b0f733d26605abe7ea301a4fdc91b78451fdeeb2ece803,1633,1
civil-engineering-pack/kds/KDS_41_80_10.md,KDS_41_80_10.md,kds/KDS_41_80_10.md,2c94c8ce9ab5c43e4840da313d1c9a175d78a2551961349ff18991104d303146,25647,10
